year,emissions_gtc_wrld
1750,0.0025478277929155313
1751,0.0025478277929155313
1752,0.002548826158038147
1753,0.002548826158038147
1754,0.002549824523160763
1755,0.0025508228882833786
1756,0.0027265351498637603
1757,0.002727533514986376
1758,0.0027285318801089915
1759,0.0027295302452316076
1760,0.0027295302452316076
1761,0.0029901035422343326
1762,0.002991101907356948
1763,0.002992100272479564
1764,0.00299309863760218
1765,0.0029940970027247955
1766,0.0033405297002724794
1767,0.0033415280653950954
1768,0.0033425264305177115
1769,0.0033435247956403267
1770,0.0033445231607629427
1771,0.0037089264305177113
1772,0.0037099247956403274
1773,0.003710923160762943
1774,0.0037119215258855586
1775,0.0037129198910081746
1776,0.004097290463215259
1777,0.004098288828337875
1778,0.004099287193460491
1779,0.004100285558583106
1780,0.0041022822888283385
1781,0.00458948446866485
1782,0.004590482833787466
1783,0.004592479564032697
1784,0.004593477929155313
1785,0.004596473024523161
1786,0.0052184544959128065
1787,0.0052204512261580386
1788,0.005221449591280654
1789,0.005223446321525886
1790,0.0052254430517711175
1791,0.00583644250681199
1792,0.005966229972752044
1793,0.005971221798365122
1794,0.0059622365122615805
1795,0.005965231607629427
1796,0.006253759128065395
1797,0.006565249046321526
1798,0.006837802724795641
1799,0.007201207629427793
1800,0.007654465395095369
1801,0.0076185242506811995
1802,0.010022587465940055
1803,0.008579949863760218
1804,0.0093486910081743875
1805,0.009106088283378748
1806,0.009549362397820164
1807,0.01004754659400545
1808,0.009554354223433243
1809,0.009561342779291554
1810,0.01018532098092643
1811,0.01078533841961853
1812,0.011173702452316078
1813,0.011231607629427792
1814,0.011479202179836513
1815,0.011849595640326976
1816,0.012987731880108993
1817,0.01346894386920981
1818,0.013526849046321525
1819,0.013609713351498638
1820,0.01381138310626703
1821,0.014015049591280653
1822,0.01456814386920981
1823,0.015408767302452317
1824,0.015946886103542234
1825,0.016554890463215257
1826,0.01673559455040872
1827,0.017960588555858314
1828,0.018157266485013625
1829,0.018091374386920978
1830,0.024284233242506816
1831,0.023032283378746594
1832,0.02319102343324251
1833,0.023653266485013626
1834,0.024110517711171665
1835,0.024644643051771116
1836,0.02854924904632153
1837,0.028526286648501365
1838,0.02943979073569482
1839,0.030412198365122618
1840,0.03240593351498638
1841,0.03341128719346049
1842,0.035287215258855587
1843,0.036199720980926435
1844,0.03853489700272479
1845,0.04229174495912807
1846,0.04299559237057221
1847,0.04697607411444142
1848,0.04736144305177111
1849,0.050003117166212536
1850,0.053650144959128065
1851,0.05417029318801091
1852,0.05655339073569482
1853,0.05918508119891008
1854,0.06952015694822888
1855,0.07088991389645775
1856,0.07555627247956404
1857,0.07626411335149864
1858,0.07743102179836513
1859,0.08210151471389647
1860,0.09009324005449593
1861,0.0947507471389646
1862,0.09647342288828338
1863,0.10295911117166213
1864,0.1109240076294278
1865,0.1177950378746594
1866,0.12151787438692098
1867,0.13019479891008173
1868,0.13372002615803816
1869,0.1419974713896458
1870,0.14510538201634876
1871,0.15426238692098093
1872,0.17067351280653953
1873,0.18131308991825612
1874,0.16975401852861036
1875,0.18414145831062673
1876,0.18679910626702997
1877,0.1904900621253406
1878,0.1919296264305177
1879,0.20568651471389646
1880,0.23261776239782017
1881,0.24043800408719346
1882,0.2539304386920981
1883,0.27003697111716624
1884,0.2730729550408719
1885,0.27511568692098093
1886,0.2794220392370573
1887,0.2933955525885559
1888,0.32487086376021795
1889,0.3247423520435967
1890,0.3538047904632153
1891,0.3702669455040872
1892,0.37332276130790193
1893,0.3688487833787466
1894,0.38170697465940057
1895,0.40470881171662126
1896,0.4179049049046321
1897,0.43768682288828337
1898,0.4616559038147139
1899,0.504334050681199
1900,0.5319413226158038
1901,0.5495261384196185
1902,0.5634325920980927
1903,0.6147349455040871
1904,0.6217595463215259
1905,0.662024895640327
1906,0.6953322923705723
1907,0.7861801749318801
1908,0.7565208694822889
1909,0.7866711337874659
1910,0.82495609373297
1911,0.8399079765667575
1912,0.8796545370572207
1913,0.9516106945504088
1914,0.8633082722070844
1915,0.851522763760218
1916,0.9191155501362399
1917,0.9612331547683923
1918,0.9480069697547685
1919,0.8214916084468664
1920,0.9557486746594005
1921,0.8381575536784742
1922,0.8791403370572207
1923,0.9975696844686649
1924,1.0006537741144415
1925,1.0116805757493188
1926,0.9932398479564033
1927,1.0848590961852862
1928,1.0797145850136238
1929,1.1594416147138966
1930,1.068953226975477
1931,0.9551150008174387
1932,0.8607992945504087
1933,0.906390676294278
1934,0.9857377504087194
1935,1.0343564948228883
1936,1.1363960994550408
1937,1.214959491280654
1938,1.1431179177111717
1939,1.209303538692098
1940,1.3215058705722074
1941,1.3512769008174388
1942,1.3459740760217984
1943,1.368733144414169
1944,1.3911271588555858
1945,1.1566043850136238
1946,1.262527870027248
1947,1.3978706891008175
1948,1.4716935907356947
1949,1.4286384013623978
1950,1.6357597245231605
1951,1.7383531174386921
1952,1.7617695455040872
1953,1.8113699768392373
1954,1.8501189356948229
1955,2.0281218166212533
1956,2.1591854354223434
1957,2.2303880027247955
1958,2.2936239929155318
1959,2.4131304280653953
1960,2.5577475942779295
1961,2.5660661136239784
1962,2.6566911891008176
1963,2.7987804877384197
1964,2.9506423896457767
1965,3.0837146920980927
1966,3.233204741144414
1967,3.335979711171662
1968,3.517687335149864
1969,3.75110916893733
1970,4.059282585831063
1971,4.2229609482288835
1972,4.4199324986376025
1973,4.653621825613079
1974,4.63476686920981
1975,4.644822130790192
1976,4.900265081743869
1977,5.039381694822889
1978,5.195576888283379
1979,5.343329081743869
1980,5.311338833787466
1981,5.184444190735694
1982,5.1432589318801085
1983,5.176575356948229
1984,5.356053643051771
1985,5.536099051771118
1986,5.618426065395096
1987,5.794603414168938
1988,6.022179697547684
1989,6.105403956403269
1990,6.198794103542235
1991,6.331907942779291
1992,6.149761384196185
1993,6.213486471389646
1994,6.257379662125341
1995,6.390720558583106
1996,6.581733299727521
1997,6.6214033869209805
1998,6.595714242506813
1999,6.680916155313352
2000,6.875805790190736
2001,6.934892234332425
2002,7.095147542234334
2003,7.456872831062671
2004,7.800417719346049
2005,8.06615182561308
2006,8.333386942779292
2007,8.581400978201636
2008,8.738268122615803
2009,8.612273136239782
2010,9.085367970027248
2011,9.391948514986378
2012,9.5297207493188
2013,9.613903389645776
2014,9.682409523160763
2015,9.672045324250682
2016,9.660070653950955
2017,9.78902934332425
2018,9.98532419346049
2019,10.000681989100817
2020,9.484266784741145
